Customer Name,Periode,Sales Doc,Sales Item,Material No,Material Desc, Sales Qty , Total Amount 
PT. HJT,January 2022,2100001244,80,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 16 ," 252,691 "
PT. HJT,January 2022,2100000805,20,RBFF,Finished Rolled Beam Fabricated, 15 ," 156,161 "
PT. IPM,January 2022,2100000641,130,PLTF,Finished Baby Plate, 80 ," 852,531 "
PT. FS,January 2022,2100000820,10,HRCF,Finished Hot Rolled Coil," 117,940 "," 1,717,159 "
PT. HJT,January 2022,2100001349,80,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 16 ," 42,427 "
PT. GC,January 2022,2100001070,30,PLTF,Finished Baby Plate, 10 ," 256,831 "
FSC,January 2022,1200000026,320,HRCF,Finished Hot Rolled Coil," 20,810 ", - 
PT. ADP,January 2022,2100000558,20,PLTF,Finished Baby Plate, 6 ," 174,591 "
FSC,January 2022,1200000003,130,CNPF,Finished Lipped Channel, 24 , - 
SPM,January 2022,1200000005,20,SWPF,Finished Spiral Welded Pipe, 3 , - 
O&C,January 2022,2900000035,50,PLTF,Finished Baby Plate, 5 , 27 
PT. IB,January 2022,2100000995,10,WBMF-0000000001,WB-JIS G 3101 SS 400 400x400x13x21x12000, 20 ," 745,941 "
PT. HJT,January 2022,2100000715,90,RBFF,Finished Rolled Beam Fabricated, 2 ," 2,763 "
FSC,January 2022,1200000006,960,PLTF,Finished Baby Plate," 5,312 ", - 
PT. HJT,January 2022,2100001253,50,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 3 ," 16,810 "
PT. HJT,January 2022,2100000474,40,PLTF,Finished Baby Plate, 20 ," 422,548 "
SPM,January 2022,1000000064,10,SWPF,Finished Spiral Welded Pipe, 23 ," 334,247 "
PT. HJT,January 2022,2100001237,100,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 60 ," 159,102 "
FS,January 2022,1000000017,510,CTSF,Finished Plate Cut to Shape, 208 ," 4,059 "
FSC,January 2022,1200000026,1010,PLTF,Finished Baby Plate, 822 , - 
PT. HJT,January 2022,2100001000,20,RHCF,Finished Rolled Honey Comb, 33 ," 294,238 "
FS,January 2022,1000000017,40,CTSF,Finished Plate Cut to Shape, 4 , 296 
PT. HJT,January 2022,2100000494,30,CPLF-0000000008,CPLF-ASTM A 36 3.7x1200x2400, 1 ," 1,357 "
PT. HJT,January 2022,2100000964,40,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 16 ," 162,969 "
PT. HJT,January 2022,2100001328,190,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 22 ," 429,741 "
PT. BBM,January 2022,2100000949,50,CNPF-0000000014,CNP-JIS G 3131 SPHC 125x50x20x3x6000, 500 ," 266,808 "
FSC,January 2022,1200000026,20,HRCF,Finished Hot Rolled Coil," 270,465 ", - 
O&C,January 2022,2900000043,30,WBMF,Finished Welded Beam, 3 , 8 
P,January 2022,2100000977,10,EPBF,Finished ERW Pipe, 250 ," 200,013 "
PT. BE,January 2022,2100001247,50,HRCF,Finished Hot Rolled Coil," 120,590 "," 1,715,839 "
PT. HJT,January 2022,2100000883,20,RBFF,Finished Rolled Beam Fabricated, 6 ," 17,033 "
FSC,January 2022,1200000000,900,RAFF,Finished Rolled Angle Fabricated, 4 , - 
FSC,January 2022,1200000028,1990,BSBS,SFG - Baby Slab," 9,041 ", - 
PSC,January 2022,1000000034,200,PLTF,Finished Baby Plate, 5 ," 57,036 "
TCP,January 2022,2900000050,30,FABS-COMPONENT,Komponen Fabrikasi (Data Migration)," 38,986 ", - 
PT. HJT,January 2022,2100000971,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 7 ," 30,835 "
PT. HJT,January 2022,2100000534,50,CPLF,Finished Coil Plate, 21 ," 24,881 "
PT. HJT,January 2022,2100001359,20,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 2 ," 20,214 "
PT. SS,January 2022,2100000599,10,CPLF-0000000022,CPLF-ASTM A 36 4.8x1500x6000, 224 ," 1,168,416 "
PT. HJT,January 2022,2100000750,10,EPBF,Finished ERW Pipe, 561 ," 458,979 "
PT. HJT,January 2022,2100000070,60,CPLF,Finished Coil Plate, 24 ," 31,492 "
PT. HJT,January 2022,2100000905,10,RBFF,Finished Rolled Beam Fabricated, 8 ," 11,698 "
TMT,January 2022,2900000092,40,CPLF,Finished Coil Plate, 265 , 34 
PT. BBM,January 2022,2100000584,20,PLTF,Finished Baby Plate, 16 ," 548,761 "
PT. HJT,January 2022,2100001409,30,RBFF,Finished Rolled Beam Fabricated, 20 ," 154,655 "
PT. HJT,January 2022,2100000968,20,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 5 ," 142,403 "
PT. HJT,January 2022,2100000523,10,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 4 ," 113,877 "
PT. HJT,January 2022,2100001385,10,CRCF,Finished Cold Rolled Coil," 199,475 "," 3,234,308 "
ATP,January 2022,2900000093,30,PLTF,Finished Baby Plate, 39 , 297 
OSP,January 2022,2900000106,1060,WBMF,Finished Welded Beam, 1 , 4 
O&C,January 2022,2900000090,130,WBMF,Finished Welded Beam, 1 , 5 
PT. HJT,January 2022,2100000432,20,HRCF-0000000067,HRCF-JIS G 3101 SS 400 3x1200," 52,530 "," 819,570 "
FSC,January 2022,1200000028,1630,BSBS,SFG - Baby Slab," 2,965 ", - 
PT. HJT,January 2022,2100000952,50,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 33 ," 248,642 "
PT. HJT,January 2022,2100001106,10,UL-RBMF-0000005,HB-JIS G 3101 SS 400 100x100x12000-UL, 4 ," 13,341 "
PT. HJT,January 2022,2100001253,60,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 15 ," 108,542 "
PT. HJT,January 2022,2100000706,30,CRCF,Finished Cold Rolled Coil," 33,635 "," 578,751 "
FSC,January 2022,1200000026,820,PLTF,Finished Baby Plate," 4,950 ", - 
OSP,January 2022,2900000057,10,WBMF,Finished Welded Beam, 1 , 2 
TCP,January 2022,2900000047,70,WBMF,Finished Welded Beam, 6 , 10 
FSC,January 2022,1200000019,2310,PLTF,Finished Baby Plate," 21,413 ", - 
PT. HJT,January 2022,2100000908,40,RBFF,Finished Rolled Beam Fabricated, 2 ," 16,347 "
PT. WSJ,January 2022,2100000636,10,CPLF-0000000005,CPLF-ASTM A 36 2.8x1200x2400, 305 ," 289,300 "
O&C,January 2022,2900000090,910,WBMF,Finished Welded Beam, 12 , 9 
FSC,January 2022,1200000004,270,HRCF,Finished Hot Rolled Coil, 3 , - 
PT. BBM,January 2022,2100000704,20,EPBF-0000000064,"JIS G 3445 STKM 11A 3""(88.9)x2.8x6000", 6 ," 3,693 "
FSC,January 2022,1200000000,1110,RAFF,Finished Rolled Angle Fabricated, 56 , - 
PT. HJT,January 2022,2100000467,100,CPLF-0000000011,CPLF-ASTM A 36 4.8x1200x2400, 28 ," 50,549 "
O&C,January 2022,2900000090,480,WBMF,Finished Welded Beam, 18 , 23 
PT. HJT,January 2022,2100000980,10,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 1 ," 10,113 "
TCP,January 2022,2900000046,90,WBMF,Finished Welded Beam, 6 , 22 
PT. TJI,January 2022,2100000669,10,CPLF-0000000001,CPLF-ASTM A 36 2x1200x2400," 2,334 "," 1,595,807 "
PT. HJT,January 2022,2100001190,40,CRCF,Finished Cold Rolled Coil," 48,475 "," 759,245 "
FSC,January 2022,1200000004,1020,PLTF,Finished Baby Plate, 2 , - 
PT. HJT,January 2022,2100001073,50,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 9 ," 91,020 "
PT. PAS,January 2022,2100000751,40,CNPF,Finished Lipped Channel, 8 ," 3,189 "
FSC,January 2022,1200000006,1850,PLTF,Finished Baby Plate," 2,119 ", - 
PT. HJT,January 2022,2100000386,60,HRCF,Finished Hot Rolled Coil," 1,140 "," 16,530 "
PT. HJT,January 2022,2100000989,10,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 15 ," 251,006 "
PT. HJT,January 2022,2100000614,50,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 10 ," 101,527 "
FSC,January 2022,1200000026,130,HRCF,Finished Hot Rolled Coil," 10,210 ", - 
PT. HJT,January 2022,2100001211,40,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 40 ," 545,111 "
FSC,January 2022,1200000015,360,HRCF,Finished Hot Rolled Coil," 18,810 ", - 
PT. HJT,January 2022,2100000797,40,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 10 ," 58,382 "
CRM,January 2022,1200000029,260,HRCF,Finished Hot Rolled Coil," 43,087 ", - 
PT. ADP,January 2022,2100000509,90,HRCF,Finished Hot Rolled Coil," 120,000 "," 1,775,400 "
YDB,January 2022,2100001223,20,PLTF,Finished Baby Plate, 5 ," 86,001 "
PT. HJT,January 2022,2100000898,10,UL-RBMF-0000004,HB-JIS G 3101 SS 400 125x125x12000-UL, 8 ," 34,736 "
PT. SJS,January 2022,2100000651,20,CPLF-0000000010,CPLF-ASTM A 36 4.7x1200x2400, 730 ," 1,165,029 "
PT. HJT,January 2022,2100001245,50,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 15 ," 112,182 "
PT. HJT,January 2022,2100000770,40,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 15 ," 251,987 "
PT. HJT,January 2022,2100000521,60,CPLF-0000000015,CPLF-ASTM A 36 7.8x1200x2400, 220 ," 608,591 "
PT. HJT,January 2022,2100001056,40,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 50 ," 513,051 "
PT. HJT,January 2022,2100001001,130,RBFF,Finished Rolled Beam Fabricated, 46 ," 63,120 "
PT. IB,January 2022,2100000871,40,CPLF,Finished Coil Plate, 183 ," 283,396 "
CV. TSK,January 2022,2100000637,40,CPLF-0000000010,CPLF-ASTM A 36 4.7x1200x2400, 182 ," 292,587 "
FSC,January 2022,1200000019,2320,PLTF,Finished Baby Plate," 15,295 ", - 
PT. HJT,January 2022,2100000337,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 2 ," 15,064 "
PT. HJT,January 2022,2100000144,60,PLTF-0000000008,PLTF-ASTM A 36 24.7x1200x2400, 6 ," 52,808 "
PT. HJT,January 2022,2100000914,50,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 25 ," 415,200 "
PT. HJT,January 2022,2100000409,10,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 23 , - 
PT. HJT,January 2022,2100001268,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 20 ," 316,499 "
PT. IB,January 2022,2100000927,120,CPLF,Finished Coil Plate, 373 ," 567,783 "
FSC,January 2022,1200000006,1350,PLTF,Finished Baby Plate," 21,264 ", - 
FS,January 2022,1000000059,400,CTSF,Finished Plate Cut to Shape, 88 ," 1,739 "
PT. ADP,January 2022,2100000496,10,HRCF,Finished Hot Rolled Coil," 36,000 "," 594,000 "
O&C,January 2022,2900000105,610,WBMF,Finished Welded Beam, 1 , 3 
O&C,January 2022,2900000036,20,WBMF,Finished Welded Beam, 32 , 37 
PT. B,January 2022,2100001282,140,PLTF,Finished Baby Plate, 1 ," 80,620 "
PT. HJT,January 2022,2100000345,10,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 5 ," 33,343 "
O&C,January 2022,2900000105,310,WBMF,Finished Welded Beam, 1 , 2 
PT. IB,January 2022,2100000994,10,CNPF,Finished Lipped Channel, 300 ," 116,459 "
PSC,January 2022,1000000030,110,PLTF,Finished Baby Plate, 10 ," 131,942 "
FSC,January 2022,1200000000,1320,RBMF,Finished Rolled Beam, 1 , - 
PT. WSJ,January 2022,2100000636,80,CPLF-0000000016,CPLF-ASTM A 36 8.8x1200x2400, 98 ," 290,395 "
PT. HJT,January 2022,2100000653,90,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 52 ," 306,133 "
PT. HJT,January 2022,2100000880,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 10 ," 57,991 "
PT. HJT,January 2022,2100001248,10,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 1 ," 7,474 "
PT. HJT,January 2022,2100000738,20,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 5 ," 31,717 "
FSC,January 2022,1200000019,2180,PLTF,Finished Baby Plate, 506 , - 
PT. HJT,January 2022,2100000882,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 11 ," 109,742 "
PT. HJT,January 2022,2100001178,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 4 ," 19,970 "
O&C,January 2022,2900000037,350,WBMF,Finished Welded Beam, 4 , 5 
PT. TJ,January 2022,2100000689,30,CPLF,Finished Coil Plate, 204 ," 1,952,744 "
PT. IB,January 2022,2100000876,100,CPLF,Finished Coil Plate," 1,440 "," 1,418,338 "
PT. HJT,January 2022,2100000709,10,RBFF,Finished Rolled Beam Fabricated, 6 ," 106,682 "
TCP,January 2022,2900000073,20,PLTF,Finished Baby Plate, 4 , 9 
PT. WSJ,January 2022,2100000635,10,PLTF,Finished Baby Plate, 23 ," 788,844 "
YDB,January 2022,2100001155,10,WBMF,Finished Welded Beam, 10 ," 333,944 "
PT. HJT,January 2022,2100000433,60,HRCF-0000000067,HRCF-JIS G 3101 SS 400 3x1200," 82,000 "," 1,279,359 "
PT. SPA,January 2022,2100001315,40,CRCF,Finished Cold Rolled Coil," 100,950 "," 1,458,657 "
PT. HJT,January 2022,2100001075,10,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 19 ," 141,083 "
PT. BBM,January 2022,2100001189,110,CNPF-0000000009,CNP-JIS G 3131 SPHC 125x50x20x2.2x6000," 1,000 "," 398,318 "
PT. HJT,January 2022,2100000372,130,EPBF-0000000061,"JIS G 3445 STKM 11A 3""(88.9)x2x6000", 240 ," 83,065 "
PT. HJT,January 2022,2100001140,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 40 ," 167,388 "
OSP,January 2022,2900000106,360,WBMF,Finished Welded Beam, 2 , 6 
PSC,January 2022,1000000016,20,PLTF,Finished Baby Plate, 2 ," 112,412 "
ATP,January 2022,2900000040,20,PLTF,Finished Baby Plate, 39 , 37 
PT. HJT,January 2022,2100000997,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 70 ," 285,319 "
FSC,January 2022,1200000006,1680,PLTF,Finished Baby Plate," 16,872 ", - 
PT. HJT,January 2022,2100000961,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 5 ," 102,707 "
FSC,January 2022,1200000015,130,HRCF,Finished Hot Rolled Coil," 91,730 ", - 
PT. IB,January 2022,2100000871,100,CPLF,Finished Coil Plate," 1,151 "," 1,131,172 "
ATP,January 2022,2900000051,40,CRCF,Finished Cold Rolled Coil," 50,000 ", 51 
PT. HJT,January 2022,2100001039,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 30 ," 126,388 "
FSC,January 2022,1200000006,840,PLTF,Finished Baby Plate," 7,269 ", - 
PT. HJT,January 2022,2100000905,70,RBFF,Finished Rolled Beam Fabricated, 4 , 904 
PT. TJ,January 2022,2100001012,10,PLTF,Finished Baby Plate, 40 ," 630,034 "
FSC,January 2022,1200000006,800,PLTF,Finished Baby Plate," 23,368 ", - 
FSC,January 2022,1200000015,1840,PLTF,Finished Baby Plate," 2,741 ", - 
PT. HJT,January 2022,2100001398,130,RBFF,Finished Rolled Beam Fabricated, 16 ," 46,361 "
PT. FS,January 2022,2100000702,30,HRCF-0000000034,HRCF-ASTM A 36 10x1524," 379,790 "," 5,529,590 "
FS,January 2022,1000000017,100,CTSF,Finished Plate Cut to Shape, 5 , 249 
PT. HJT,January 2022,2100000974,50,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 2 ," 28,129 "
PT. HJT,January 2022,2100000413,50,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 10 ," 272,000 "
PT. B,January 2022,2100001282,10,PLTF,Finished Baby Plate, 2 ," 250,247 "
PSC,January 2022,1000000065,80,PLTF,Finished Baby Plate, 1 ," 54,549 "
PT. HJT,January 2022,2100000816,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 14 ," 58,546 "
PT. TJ,January 2022,2100000689,130,PLTF,Finished Baby Plate, 30 ," 661,489 "
PT. HJT,January 2022,2100000894,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 5 ," 79,412 "
PT. HJT,January 2022,2100000774,20,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 20 ," 336,687 "
FSC,January 2022,1200000028,1460,BSBS,SFG - Baby Slab," 2,965 ", - 
PT. TJI,January 2022,2100000669,50,CPLF,Finished Coil Plate, 248 ," 286,982 "
PT. HJT,January 2022,2100001030,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 4 ," 40,725 "
PSC,January 2022,1000000055,30,PLTF,Finished Baby Plate, 16 ," 327,022 "
SMS,January 2022,1000000052,10,FABF,Finished Fabrication, 4 ," 8,441 "
OSP,January 2022,2900000067,10,PLTF,Finished Baby Plate, 5 , 4 
PT. HJT,January 2022,2100000144,10,PLTF,Finished Baby Plate, 3 ," 14,527 "
PT. BBM,January 2022,2100000294,50,PLTF,Finished Baby Plate, 25 ," 1,159,598 "
O&C,January 2022,2900000032,10,PLTF,Finished Baby Plate, 32 , 37 
PT. HJT,January 2022,2100001085,10,CRCF,Finished Cold Rolled Coil," 224,635 "," 3,667,032 "
PT. HJT,January 2022,2100000594,30,CRCF,Finished Cold Rolled Coil," 102,335 "," 1,557,682 "
PT. HJT,January 2022,2100000414,50,CPLF,Finished Coil Plate, 106 ," 332,033 "
PT. HJT,January 2022,2100000945,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 80 ," 454,215 "
PT. HJT,January 2022,2100001215,20,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 98 ," 971,171 "
PT. HJT,January 2022,2100001124,10,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 35 ," 346,847 "
PT. IB,January 2022,2100001216,30,CNPF-0000000022,CNP-JIS G 3131 SPHC 150x65x20x2.2x6000, 89 ," 46,182 "
PT. HJT,January 2022,2100000386,70,HRCF,Finished Hot Rolled Coil," 1,830 "," 26,535 "
PT. HJT,January 2022,2100000999,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 4 ," 41,280 "
O&C,January 2022,2900000105,430,WBMF,Finished Welded Beam, 1 , 2 
PT. IB,January 2022,2100001421,430,EPBF-0000000078,"JIS G 3445 STKM 11A 4""(114.3)x3.4x6000", 364 ," 317,563 "
FSC,January 2022,1200000006,1200,PLTF,Finished Baby Plate," 3,894 ", - 
FSC,January 2022,1200000006,1600,PLTF,Finished Baby Plate," 40,945 ", - 
FSC,January 2022,1200000006,1560,PLTF,Finished Baby Plate," 28,630 ", - 
FSC,January 2022,1200000028,2210,BSBS,SFG - Baby Slab," 9,174 ", - 
FSC,January 2022,1200000001,190,CRGF,Finished CRC Galvanized," 90,610 ", - 
FSC,January 2022,1200000006,2040,PLTF,Finished Baby Plate," 4,430 ", - 
PT. HJT,January 2022,2100000321,30,RBFF,Finished Rolled Beam Fabricated, 8 ," 41,227 "
FSC,January 2022,1200000026,60,HRCF,Finished Hot Rolled Coil," 33,410 ", - 
PD&,January 2022,1000000004,20,FPLF,Finished Plate Bar, 80 , - 
PT. TJ,January 2022,2100001425,10,PLTF,Finished Baby Plate, 30 ," 308,068 "
PT. HJT,January 2022,2100000677,10,CRCF,Finished Cold Rolled Coil," 66,205 "," 1,149,504 "
CRM,January 2022,1000000015,10,CRGF,Finished CRC Galvanized," 250,000 "," 5,540,912 "
TMT,January 2022,2900000092,30,CPLF,Finished Coil Plate, 330 , 35 
TCP,January 2022,2900000073,40,PLTF,Finished Baby Plate, 1 , 5 
PT. HJT,January 2022,2100001095,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 50 ," 379,399 "
PT. HJT,January 2022,2100000880,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 4 ," 16,727 "
PT. HJT,January 2022,2100001398,100,RBFF,Finished Rolled Beam Fabricated, 52 ," 130,508 "
PT. SJS,January 2022,2100000650,50,CPLF,Finished Coil Plate, 200 ," 298,108 "
FSC,January 2022,1200000022,3040,PLTF,Finished Baby Plate," 15,960 ", - 
FSC,January 2022,1200000000,160,RBFF,Finished Rolled Beam Fabricated, 6 , - 
PT. HJT,January 2022,2100000723,80,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 60 ," 353,231 "
O&C,January 2022,2900000058,30,PLTF,Finished Baby Plate, 16 , 26 
PT. HJT,January 2022,2100000851,70,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 28 ," 117,092 "
PSC,January 2022,1000000038,130,PLTF,Finished Baby Plate, 2 , - 
PT. HJT,January 2022,2100001277,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 5 ," 49,255 "
PT. HJT,January 2022,2100000614,70,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 10 ," 196,475 "
FSC,January 2022,1200000026,1180,PLTF,Finished Baby Plate," 2,826 ", - 
PT. HJT,January 2022,2100000435,10,CPLF,Finished Coil Plate, 20 ," 68,018 "
PT. IB,January 2022,2100000875,110,CPLF-0000000001,CPLF-ASTM A 36 2x1200x2400," 1,335 "," 906,474 "
FSC,January 2022,1200000026,310,HRCF,Finished Hot Rolled Coil," 57,810 ", - 
PT. HJT,January 2022,2100000957,30,CRCF,Finished Cold Rolled Coil," 51,885 "," 798,347 "
PT. HJT,January 2022,2100001107,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 4 ," 63,300 "
TMT,January 2022,2900000055,70,CPLF,Finished Coil Plate, 253 , 42 
FSC,January 2022,1200000019,2130,PLTF,Finished Baby Plate," 58,876 ", - 
PT. HJT,January 2022,2100000855,20,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 53 ," 770,193 "
PT. HJT,January 2022,2100001275,150,RBFF,Finished Rolled Beam Fabricated, 3 ," 3,958 "
PT. IB,January 2022,2100000927,70,CPLF-0000000017,CPLF-ASTM A 36 9.7x1200x2400, 260 ," 840,328 "
PT. HJT,January 2022,2100001180,10,RBFF,Finished Rolled Beam Fabricated, 10 ," 104,014 "
PT. HJT,January 2022,2100000766,60,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 20 ," 336,687 "
FSC,January 2022,1200000006,1190,PLTF,Finished Baby Plate, 332 , - 
PT. PNS,January 2022,2100000604,20,CPLF,Finished Coil Plate," 1,152 "," 1,742,260 "
PT. TJ,January 2022,2100000690,20,PLTF,Finished Baby Plate, 437 ," 4,139,004 "
PT. HJT,January 2022,2100000837,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 45 ," 336,545 "
FSC,January 2022,1200000028,1370,BSBS,SFG - Baby Slab," 4,367 ", - 
PT. HJT,January 2022,2100001349,70,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 2 ," 63,996 "
FSC,January 2022,1200000006,350,HRCF,Finished Hot Rolled Coil," 457,930 ", - 
PT. HJT,January 2022,2100000546,120,HRCF,Finished Hot Rolled Coil," 116,430 "," 2,067,599 "
PT. HJT,January 2022,2100001364,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 10 ," 200,749 "
CV. MM,January 2022,2100000645,20,CPLF-0000000003,CPLF-ASTM A 36 2.5x1200x2400, 264 ," 225,732 "
PT. HJT,January 2022,2100000614,40,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 10 ," 75,079 "
FSC,January 2022,1200000006,430,PLTF,Finished Baby Plate, 574 , - 
PT. HJT,January 2022,2100001408,40,RBFF,Finished Rolled Beam Fabricated, 4 ," 30,691 "
PT. HJT,January 2022,2100000846,80,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 4 ," 56,258 "
O&C,January 2022,2900000090,880,WBMF,Finished Welded Beam, 4 , 5 
PT. HJT,January 2022,2100000783,10,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 27 ," 173,772 "
PT. HJT,January 2022,2100000547,110,HRCF,Finished Hot Rolled Coil, 440 ," 7,328 "
PT. HJT,January 2022,2100000821,40,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 27 ," 204,875 "
PT. HJT,January 2022,2100001412,30,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 60 ," 611,133 "
PT. HJT,January 2022,2100000393,40,RBFF,Finished Rolled Beam Fabricated, 6 ," 9,084 "
O&C,January 2022,2900000065,10,WBMF,Finished Welded Beam, 32 , 132 
PSC,January 2022,1000000039,10,PLTF,Finished Baby Plate, 49 ," 694,153 "
PT. BBM,January 2022,2100000581,50,PLTF,Finished Baby Plate, 6 ," 102,751 "
PT. HJT,January 2022,2100000449,40,CPLF-0000000004,CPLF-ASTM A 36 2.7x1200x2400, 4 ," 4,041 "
PT. IB,January 2022,2100001428,50,EPBF-0000000015,"JIS G 3445 STKM 11A 1""(33.4)x3x6000", 338 ," 70,661 "
FSC,January 2022,1200000006,60,PLTF,Finished Baby Plate," 25,925 ", - 
PT. HJT,January 2022,2100000929,30,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 1 ," 15,930 "
FSC,January 2022,1200000004,460,PLTF,Finished Baby Plate, 1 , - 
PT. BBM,January 2022,2100000680,20,CPLF,Finished Coil Plate, 338 ," 294,504 "
FSC,January 2022,1200000015,1690,PLTF,Finished Baby Plate, 309 , - 
FSC,January 2022,1200000006,770,PLTF,Finished Baby Plate," 4,150 ", - 
FSC,January 2022,1200000019,2090,PLTF,Finished Baby Plate," 21,588 ", - 
FSC,January 2022,1200000006,490,PLTF,Finished Baby Plate," 1,770 ", - 
PT. SS,January 2022,2100001170,10,CNPF-0000000001,CNP-JIS G 3131 SPHC 100x50x20x2x6000, 500 ," 182,119 "
PT. IB,January 2022,2100000288,430,CPLF,Finished Coil Plate, 527 ," 450,609 "
PT. HJT,January 2022,2100000722,100,RBMF-0000000001,IWF-JIS G 3101 SS 400 600x200x12000, 2 ," 49,134 "
FSC,January 2022,1200000015,1150,PLTF,Finished Baby Plate," 44,800 ", - 
PT. HJT,January 2022,2100000501,50,CPLF,Finished Coil Plate, 9 ," 15,922 "
PT. HJT,January 2022,2100001306,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 3 ," 59,758 "
FSC,January 2022,1200000015,1750,PLTF,Finished Baby Plate," 1,266 ", - 
O&C,January 2022,2900000090,1090,WBMF,Finished Welded Beam, 4 , 4 
PT. PNS,January 2022,2100000603,20,PLTF,Finished Baby Plate, 5 ," 87,402 "
PT. IB,January 2022,2100000871,60,CPLF,Finished Coil Plate, 983 ," 2,518,602 "
FSC,January 2022,1200000028,2100,BSBS,SFG - Baby Slab," 9,174 ", - 
PT. IB,January 2022,2100000675,30,CNGF,Finished Lipped Channel Galvanised, 100 ," 106,594 "
PT. HJT,January 2022,2100000437,40,CPLF-0000000004,CPLF-ASTM A 36 2.7x1200x2400, 31 ," 29,656 "
PT. IB,January 2022,2100001309,40,CPLF,Finished Coil Plate, 620 ," 563,159 "
